,,,,,,Total Rank,Upper,,,Lower,,,UP+LO,,Static,,,Couple,,,LRO-T OA,,,LRO-B OA,,,RRO1 OA,,,RRO2 OA,,,RRO3 OA,,,LRO-T 1st,,,LRO-B 1st,,,RRO1 1st,,,RRO2 1st,,,RRO3 1st,,,LRO-T 2nd,,,LRO-B 2nd,,,RRO1 2nd,,,RRO2 2nd,,,RRO3 2nd,,,LRO-T Nth,,,LRO-B Nth,,,RRO1 Nth,,,RRO2 Nth,,,RRO3 Nth,,,LRO-T Bulge,,,LRO-B Bulge,,,LRO-T Dent,,,LRO-B Dent,,,Circuly,,OuterDiameter1,,OuterDiameter2,,OuterDiameter3,,RO TOTAL,Meas.Pressure,Weight,,Width,
362546,2023/10/25,04:39:18,101,175/65R14           ,49403893,A,22.806,90.2,A,17.621,39.3,A,40.428,A,36.572,68.3,A,17.994,139.7,A,0.656,78,A,0.509,245.7,A,0,0,A,0.997,77.6,A,0,0,A,0.265,148.8,A,0.206,239.8,A,0,0,A,0.457,40.7,A,0,0,A,0.207,137.7,A,0.133,329.1,A,0,0,A,0.245,175.7,A,0,0,A,0.027,137.7,A,0.025,329.1,A,0,0,A,0.04,175.3,A,0,0,A,0.378,72.9,A,0.439,356.7,A,0.256,53.5,A,0.173,72.6,A,0.433,A,0,A,597.02,A,0,A,A,0,0,OK,0,A
362547,2023/10/25,04:40:04,101,175/65R14           ,49403868,A,4.925,168.1,A,7.025,238.9,A,11.95,A,9.814,210.6,A,7.135,99.6,A,0.424,236.8,A,0.475,203.2,A,0,0,A,0.573,79.6,A,0,0,A,0.246,246,A,0.097,103.6,A,0,0,A,0.436,27.9,A,0,0,A,0.172,133,A,0.1,351.6,A,0,0,A,0.045,240.3,A,0,0,A,0.044,133,A,0.037,351.6,A,0,0,A,0.072,238.8,A,0,0,A,0.613,356.1,A,0.322,355.2,A,0.443,2.2,A,0.281,70.5,A,0.204,A,0,A,596.433,A,0,A,A,0,0,OK,0,A
362548,2023/10/25,04:40:32,101,175/65R14           ,49403895,A,8.645,194.3,A,7.906,127.7,A,16.551,A,13.842,162.7,A,9.104,247.1,A,0.525,234.3,A,0.378,108.6,A,0,0,A,1.056,59.6,A,0,0,A,0.298,232.1,A,0.251,110,A,0,0,A,0.764,18.5,A,0,0,A,0.117,121.3,A,0.027,350.4,A,0,0,A,0.129,99.8,A,0,0,A,0.024,121.3,A,0.057,350.4,A,0,0,A,0.032,99.8,A,0,0,A,0.593,346.1,A,0.442,346.2,A,0.346,355.3,A,0.32,56.6,A,0.311,A,0,A,596.912,A,0,A,A,0,0,OK,0,A
362549,2023/10/25,04:41:03,101,175/65R14           ,49403529,A,20.997,236,A,21.993,266.1,A,42.99,A,41.516,251.4,A,11.206,156.1,A,0.469,303.8,A,0.961,163.8,A,0,0,A,0.5,336.4,A,0,0,A,0.26,351.3,A,0.687,202,A,0,0,A,0.274,1.8,A,0,0,A,0.126,191.2,A,0.183,303.5,A,0,0,A,0.106,207.2,A,0,0,A,0.019,191.2,A,0.021,303.5,A,0,0,A,0.056,207.2,A,0,0,A,0.507,359.6,A,0.486,359.1,A,0.407,200.7,A,0.653,287.4,A,0.22,A,0,A,597.205,A,0,A,A,0,0,OK,0,A
362550,2023/10/25,04:41:39,101,175/65R14           ,49406482,A,8.174,356.9,A,29.281,324.4,A,37.455,A,36.444,331.4,A,22.808,133.4,A,0.485,248.7,A,0.37,278.5,A,0,0,A,0.768,20,A,0,0,A,0.137,221.4,A,0.236,218.5,A,0,0,A,0.563,36.5,A,0,0,A,0.161,130.4,A,0.059,184.4,A,0,0,A,0.024,31.6,A,0,0,A,0.043,130.4,A,0.03,184.4,A,0,0,A,0.054,31.6,A,0,0,A,0.32,133.9,A,0.346,134,A,0.286,310.3,A,0.284,59,A,0.186,A,0,A,596.78,A,0,A,A,0,0,OK,0,A
362551,2023/10/25,04:42:12,101,175/65R14           ,49403798,A,12.157,181.6,A,16.904,245.4,A,29.061,A,24.79,219.3,A,15.891,108.8,A,0.743,194.6,A,0.614,10.8,A,0,0,A,0.648,28.4,A,0,0,A,0.43,172.5,A,0.143,261.5,A,0,0,A,0.4,32.5,A,0,0,A,0.101,146.6,A,0.231,355.6,A,0,0,A,0.115,96.7,A,0,0,A,0.025,146.6,A,0.042,355.6,A,0,0,A,0.037,96.7,A,0,0,A,0.428,356.9,A,0.376,356.7,A,0.484,144.6,A,0.345,162.9,A,0.198,A,0,A,596.594,A,0,A,A,0,0,OK,0,A
362552,2023/10/25,04:43:04,101,175/65R14           ,49403924,A,24.699,323.4,A,18.772,359.2,A,43.472,A,41.412,338.8,A,14.49,274.2,A,0.493,259.9,A,0.378,99.2,A,0,0,A,1.012,342,A,0,0,A,0.301,245.3,A,0.203,155.1,A,0,0,A,0.777,345.8,A,0,0,A,0.163,153.9,A,0.094,141.9,A,0,0,A,0.171,87.4,A,0,0,A,0.044,153.9,A,0.019,141.9,A,0,0,A,0.05,87.4,A,0,0,A,0.264,215.9,A,0.217,49.1,A,0.332,75.8,A,0.369,75.7,A,0.319,A,0,A,596.621,A,0,A,A,0,0,OK,0,A
362553,2023/10/25,04:43:31,101,175/65R14           ,49403865,A,17.179,348.4,A,6.405,20.9,A,23.584,A,22.844,357.1,A,12.266,332.1,A,0.287,355.6,A,0.463,179.4,A,0,0,A,0.65,338.9,A,0,0,A,0.015,79.1,A,0.289,167.5,A,0,0,A,0.367,356.4,A,0,0,A,0.05,81.1,A,0.019,130.8,A,0,0,A,0.061,121.7,A,0,0,A,0.035,81.1,A,0.04,130.8,A,0,0,A,0.11,120.1,A,0,0,A,0.617,356.8,A,0.359,356.5,A,0.356,185.5,A,0.339,4.7,A,0.331,A,0,A,596.641,A,0,A,A,0,0,OK,0,A
362554,2023/10/25,04:43:59,101,175/65R14           ,49403861,A,19.651,6.4,A,27.805,347,A,47.456,A,46.798,355,A,11.335,131.8,A,0.297,172.1,A,0.356,197.4,A,0,0,A,0.652,79,A,0,0,A,0.114,171.7,A,0.107,254.8,A,0,0,A,0.468,21.7,A,0,0,A,0.031,125.7,A,0.114,340.2,A,0,0,A,0.086,212.3,A,0,0,A,0.011,125.7,A,0.031,340.2,A,0,0,A,0.031,212.3,A,0,0,A,0.374,129.4,A,0.401,52,A,0.317,205.6,A,0.587,59.1,A,0.244,A,0,A,596.58,A,0,A,A,0,0,OK,0,A
362555,2023/10/25,04:44:27,101,175/65R14           ,49403860,A,21.291,16,A,23.848,9.7,A,45.139,A,45.07,12.7,A,3.575,148.4,A,0.496,352.5,A,0.362,141.3,A,0,0,A,0.647,7.3,A,0,0,A,0.223,233.9,A,0.198,143.4,A,0,0,A,0.486,13.6,A,0,0,A,0.048,285,A,0.077,304,A,0,0,A,0.021,87,A,0,0,A,0.044,285,A,0.028,304,A,0,0,A,0.032,85.3,A,0,0,A,0.693,353.8,A,0.572,353.4,A,0.413,2.7,A,0.41,346.3,A,0.174,A,0,A,596.589,A,0,A,A,0,0,OK,0,A
362556,2023/10/25,04:45:20,101,175/65R14           ,49403779,A,19.713,20.3,A,25.476,14.1,A,45.189,A,45.124,16.8,A,6.247,174.3,A,0.347,247.8,A,0.457,355.1,A,0,0,A,1.05,8.3,A,0,0,A,0.038,236.9,A,0.13,236.3,A,0,0,A,0.732,20.4,A,0,0,A,0.134,133.7,A,0.121,290.3,A,0,0,A,0.064,194.3,A,0,0,A,0.024,133.7,A,0.01,290.3,A,0,0,A,0.06,193.4,A,0,0,A,0.289,69.3,A,0.377,358.3,A,0.275,72.3,A,0.319,74.4,A,0.313,A,0,A,596.32,A,0,A,A,0,0,OK,0,A
362557,2023/10/25,04:46:14,101,175/65R14           ,49403794,A,17.231,56.4,A,18.289,354.2,A,35.52,A,30.408,24.3,A,18.388,118.1,A,0.388,181.9,A,0.606,185.4,A,0,0,A,0.969,349,A,0,0,A,0.195,76.7,A,0.358,217,A,0,0,A,0.832,11.3,A,0,0,A,0.033,356.7,A,0.083,1.5,A,0,0,A,0.103,104.3,A,0,0,A,0.069,356.7,A,0.076,1.5,A,0,0,A,0.068,105.4,A,0,0,A,0.315,137.1,A,0.305,7.6,A,0.383,120.5,A,0.246,324.4,A,0.319,A,0,A,596.537,A,0,A,A,0,0,OK,0,A
362558,2023/10/25,04:46:44,101,175/65R14           ,49403792,A,8.284,97.7,A,36.971,99.9,A,45.255,A,45.25,99.5,A,28.695,280.6,A,0.816,230.7,A,0.911,122.3,A,0,0,A,0.835,16,A,0,0,A,0.519,257.6,A,0.538,110.1,A,0,0,A,0.332,61.6,A,0,0,A,0.276,124.5,A,0.169,329.5,A,0,0,A,0.111,338.9,A,0,0,A,0.042,124.5,A,0.036,329.5,A,0,0,A,0.114,339.1,A,0,0,A,0.532,204.9,A,0.343,233,A,0.942,208.6,A,0.245,104.2,A,0.402,A,0,A,596.66,A,0,A,A,0,0,OK,0,A
362559,2023/10/25,04:47:11,101,175/65R14           ,49403735,A,23.378,84.2,A,25.09,132.7,A,48.468,A,44.203,109.3,A,19.954,13.9,A,0.547,270.6,A,0.782,157.6,A,0,0,A,0.506,76.5,A,0,0,A,0.388,289.6,A,0.617,143,A,0,0,A,0.284,46.3,A,0,0,A,0.037,60.6,A,0.104,10.7,A,0,0,A,0.041,258.9,A,0,0,A,0.049,60.6,A,0.043,10.7,A,0,0,A,0.034,258.9,A,0,0,A,0.671,358.6,A,0.526,359,A,0.363,8.9,A,0.379,7.3,A,0.22,A,0,A,596.688,A,0,A,A,0,0,OK,0,A
362560,2023/10/25,04:47:38,101,175/65R14           ,49403350,A,24.846,55.5,A,10.285,26.2,A,35.131,A,34.192,47,A,16.648,73,A,0.446,95.4,A,0.467,242.3,A,0,0,A,0.841,339.4,A,0,0,A,0.157,90.8,A,0.288,217.7,A,0,0,A,0.59,17.1,A,0,0,A,0.173,151.4,A,0.039,213.7,A,0,0,A,0.03,234,A,0,0,A,0.1,151.4,A,0.019,213.7,A,0,0,A,0.066,230.5,A,0,0,A,0.343,58.3,A,0.239,278.4,A,0.372,282.7,A,0.261,52.6,A,0.239,A,0,A,596.831,A,0,A,A,0,0,OK,0,A
362561,2023/10/25,04:48:06,101,175/65R14           ,49403359,A,21.275,344.4,A,19.072,341.2,A,40.346,A,40.331,342.9,A,2.476,10,A,0.534,277.6,A,0.389,140.6,A,0,0,A,0.559,105.9,A,0,0,A,0.324,270.1,A,0.246,137.5,A,0,0,A,0.216,87.3,A,0,0,A,0.097,218.8,A,0.045,142.7,A,0,0,A,0.148,208.6,A,0,0,A,0.005,218.8,A,0.009,142.7,A,0,0,A,0.075,208.6,A,0,0,A,0.519,359,A,0.449,358.8,A,0.303,17.6,A,0.332,353.2,A,0.288,A,0,A,596.942,A,0,A,A,0,0,OK,0,A
362562,2023/10/25,04:48:59,101,175/65R14           ,49403387,A,4.029,111.6,A,16.165,233.7,A,20.193,A,14.432,220,A,18.622,64.3,A,0.525,83.1,A,0.734,154.8,A,0,0,A,0.701,8.8,A,0,0,A,0.121,340.5,A,0.306,188.6,A,0,0,A,0.511,13.9,A,0,0,A,0.231,163.3,A,0.086,324.4,A,0,0,A,0.099,45.5,A,0,0,A,0.042,163.3,A,0.074,324.4,A,0,0,A,0.048,45.2,A,0,0,A,0.399,259.3,A,0.343,73.3,A,0.438,262.5,A,0.345,57.2,A,0.269,A,0,A,597.129,A,0,A,A,0,0,OK,0,A
362563,2023/10/25,04:49:23,101,175/65R14           ,49406128,A,23.3,335,A,24.313,261.1,A,47.614,A,38.057,297.1,A,28.631,29.7,A,0.599,100.3,A,0.672,352.2,A,0,0,A,0.353,2.9,A,0,0,A,0.094,331.7,A,0.115,1.3,A,0,0,A,0.144,80,A,0,0,A,0.228,244.6,A,0.289,16.1,A,0,0,A,0.139,306.9,A,0,0,A,0.019,244.6,A,0.011,16.1,A,0,0,A,0.037,306.9,A,0,0,A,0.324,32.9,A,0.309,64.8,A,0.314,312.2,A,0.258,288.7,A,0.258,A,0,A,597.023,A,0,A,A,0,0,OK,0,A
362564,2023/10/25,04:49:51,101,175/65R14           ,49403354,A,16.891,44.3,A,30.937,84.5,A,47.828,A,45.175,70.5,A,21.071,295.6,A,0.581,248.2,A,0.465,113.8,A,0,0,A,1.111,75.8,A,0,0,A,0.187,256.6,A,0.207,124.6,A,0,0,A,0.806,41.1,A,0,0,A,0.219,134.6,A,0.059,252.5,A,0,0,A,0.069,31.6,A,0,0,A,0.054,134.6,A,0.044,252.5,A,0,0,A,0.049,30.8,A,0,0,A,0.62,358.1,A,0.486,357.5,A,0.402,350,A,0.227,5.9,A,0.3,A,0,A,596.908,A,0,A,A,0,0,OK,0,A
362565,2023/10/25,04:53:10,101,175/65R14           ,49403932,A,10.324,338.4,A,3.893,72.3,A,14.217,A,10.785,359.5,A,11.277,318.2,A,0.284,90.3,A,0.413,151.1,A,0,0,A,1.018,54.5,A,0,0,A,0.117,198.3,A,0.104,213.2,A,0,0,A,0.701,10.4,A,0,0,A,0.096,229.4,A,0.113,271.5,A,0,0,A,0.156,109.4,A,0,0,A,0.03,229.4,A,0.026,271.5,A,0,0,A,0.102,109.4,A,0,0,A,0.65,355.3,A,0.533,355.5,A,0.421,349.7,A,0.366,70.4,A,0.339,A,0,A,596.748,A,0,A,A,0,0,OK,0,A
362566,2023/10/25,04:53:45,101,175/65R14           ,49403925,A,13.831,60.8,A,6.624,3.9,A,20.455,A,18.314,43.1,A,11.616,89.3,A,0.338,1.8,A,0.696,192,A,0,0,A,0.439,72.1,A,0,0,A,0.164,325.2,A,0.541,178.8,A,0,0,A,0.306,18.9,A,0,0,A,0.034,42.6,A,0.038,73,A,0,0,A,0.118,192.5,A,0,0,A,0.022,42.6,A,0.009,73,A,0,0,A,0.036,192.5,A,0,0,A,0.381,355.9,A,0.471,355.2,A,0.276,221.1,A,0.255,330.7,A,0.205,A,0,A,596.769,A,0,A,A,0,0,OK,0,A
362567,2023/10/25,04:54:13,101,175/65R14           ,49403926,A,15.439,57.2,A,15.957,359.8,A,31.396,A,27.533,28,A,15.097,120.2,A,0.469,214,A,0.537,207.3,A,0,0,A,0.555,296,A,0,0,A,0.208,265.5,A,0.29,167.8,A,0,0,A,0.188,349.9,A,0,0,A,0.124,62.7,A,0.098,6.2,A,0,0,A,0.129,231.9,A,0,0,A,0.053,62.7,A,0.015,6.2,A,0,0,A,0.057,231.9,A,0,0,A,0.662,359.5,A,0.543,359.2,A,0.409,8.5,A,0.238,239.2,A,0.276,A,0,A,596.792,A,0,A,A,0,0,OK,0,A
362568,2023/10/25,04:55:03,101,175/65R14           ,49403929,A,6.718,211,A,2.409,10.9,A,9.127,A,4.53,221.5,A,9.019,205.7,A,0.802,250.2,A,0.772,120.2,A,0,0,A,1.134,15.3,A,0,0,A,0.501,234.6,A,0.142,113.6,A,0,0,A,0.723,38.6,A,0,0,A,0.095,168.4,A,0.225,218.6,A,0,0,A,0.15,353,A,0,0,A,0.016,168.4,A,0.066,218.6,A,0,0,A,0.139,352.9,A,0,0,A,0.569,359.5,A,0.204,194.5,A,0.251,89.4,A,0.751,2.3,A,0.402,A,0,A,596.799,A,0,A,A,0,0,OK,0,A
362569,2023/10/25,04:55:32,101,175/65R14           ,49403897,A,15.986,7.6,A,18.846,89.7,A,34.832,A,26.339,52.7,A,22.971,313.2,A,0.612,240.9,A,0.657,131,A,0,0,A,0.97,342.2,A,0,0,A,0.378,273.5,A,0.433,141.7,A,0,0,A,0.469,6.1,A,0,0,A,0.151,186,A,0.08,227.1,A,0,0,A,0.151,335.3,A,0,0,A,0.033,186,A,0.058,227.1,A,0,0,A,0.106,335.3,A,0,0,A,0.248,60.8,A,0.489,356.8,A,0.319,341.1,A,0.386,67.2,A,0.397,A,0,A,596.867,A,0,A,A,0,0,OK,0,A
362570,2023/10/25,04:56:04,101,175/65R14           ,49403357,A,16.701,99.6,A,7.149,121.1,A,23.849,A,23.499,106,A,10.383,85,A,0.429,247.7,A,0.328,358.9,A,0,0,A,1.196,77.9,A,0,0,A,0.196,225.3,A,0.152,154.7,A,0,0,A,0.65,50.3,A,0,0,A,0.175,149.7,A,0.045,22.9,A,0,0,A,0.144,225.2,A,0,0,A,0.008,149.7,A,0.052,22.9,A,0,0,A,0.045,225.2,A,0,0,A,0.588,358.9,A,0.58,358.5,A,0.398,351.1,A,0.352,6.8,A,0.413,A,0,A,596.884,A,0,A,A,0,0,OK,0,A
362571,2023/10/25,04:56:34,101,175/65R14           ,49403384,A,6.337,21.4,A,34.404,34.9,A,40.742,A,40.592,32.8,A,28.283,217.9,A,0.354,299.4,A,0.707,6.7,A,0,0,A,0.821,22,A,0,0,A,0.151,293,A,0.38,4,A,0,0,A,0.687,22.5,A,0,0,A,0.037,147,A,0.062,286.3,A,0,0,A,0.239,65,A,0,0,A,0.045,147,A,0.061,286.3,A,0,0,A,0.024,65,A,0,0,A,0.474,1.4,A,0.408,275.4,A,0.626,295,A,0.435,264.3,A,0.31,A,0,A,597.235,A,0,A,A,0,0,OK,0,A
362572,2023/10/25,04:57:06,101,175/65R14           ,49403797,A,23.389,46.4,A,30.151,329.5,A,53.54,A,42.139,2.2,A,33.713,107,A,0.423,86.6,A,0.659,160,A,0,0,A,0.91,80.8,A,0,0,A,0.128,131.8,A,0.337,241.7,A,0,0,A,0.716,13.5,A,0,0,A,0.212,133,A,0.2,324.2,A,0,0,A,0.215,153.8,A,0,0,A,0.011,133,A,0.019,324.2,A,0,0,A,0.028,152.6,A,0,0,A,0.492,156,A,0.35,46.1,A,0.39,159.1,A,0.324,220.3,A,0.378,A,0,A,596.524,A,0,A,A,0,0,OK,0,A
362573,2023/10/25,04:57:46,101,175/65R14           ,49403795,A,13.369,50.7,A,11.357,131.8,A,24.726,A,18.837,87.3,A,16.143,6.7,A,0.413,102.4,A,0.606,141.1,A,0,0,A,0.661,71.1,A,0,0,A,0.154,79.1,A,0.21,204.6,A,0,0,A,0.448,14.6,A,0,0,A,0.186,92.2,A,0.217,296.7,A,0,0,A,0.189,165.1,A,0,0,A,0.024,92.2,A,0.046,296.7,A,0,0,A,0.087,165.1,A,0,0,A,0.436,353.8,A,0.302,139.3,A,0.472,1.7,A,0.345,22.7,A,0.284,A,0,A,596.617,A,0,A,A,0,0,OK,0,A
362574,2023/10/25,04:58:14,101,175/65R14           ,49403864,A,11.736,49.5,A,30.391,106.7,A,42.128,A,38.047,91.7,A,25.984,309,A,0.656,242.4,A,0.339,117.9,A,0,0,A,0.579,9.5,A,0,0,A,0.361,205.7,A,0.162,129.4,A,0,0,A,0.381,20.4,A,0,0,A,0.192,142.6,A,0.098,236.3,A,0,0,A,0.13,317.5,A,0,0,A,0.048,142.6,A,0.033,236.3,A,0,0,A,0.047,317.5,A,0,0,A,0.316,292.8,A,0.456,356.3,A,0.315,266.6,A,0.36,219,A,0.221,A,0,A,596.707,A,0,A,A,0,0,OK,0,A
362575,2023/10/25,04:58:44,101,175/65R14           ,49403777,A,4.227,294.6,A,25.041,341.9,A,29.268,A,28.08,335.6,A,22.391,169.9,A,0.479,276.1,A,0.469,350.2,A,0,0,A,0.778,337.4,A,0,0,A,0.309,216.5,A,0.143,77.6,A,0,0,A,0.588,356.7,A,0,0,A,0.145,183.9,A,0.101,8.9,A,0,0,A,0.126,134,A,0,0,A,0.037,183.9,A,0.019,8.9,A,0,0,A,0.076,134,A,0,0,A,0.441,349.5,A,0.275,301.6,A,0.368,311.4,A,0.239,20.8,A,0.258,A,0,A,596.645,A,0,A,A,0,0,OK,0,A
362576,2023/10/25,04:59:11,101,175/65R14           ,49403778,A,3.333,111.5,A,3.597,22.3,A,6.93,A,4.937,64.7,A,4.87,159.1,A,0.374,230.7,A,0.863,159.3,A,0,0,A,0.682,337.1,A,0,0,A,0.195,194.1,A,0.072,227.5,A,0,0,A,0.432,33.6,A,0,0,A,0.116,178.4,A,0.184,241.6,A,0,0,A,0.195,264.2,A,0,0,A,0.053,178.4,A,0.054,241.6,A,0,0,A,0.055,264.6,A,0,0,A,0.246,322.6,A,0.319,157,A,0.316,333.5,A,0.916,37.7,A,0.335,A,0,A,596.635,A,0,A,A,0,0,OK,0,A
362577,2023/10/25,04:59:39,101,175/65R14           ,49403730,A,18.54,115.1,A,13.406,1.8,A,31.946,A,18.071,72.2,A,26.839,142.4,A,0.41,173.9,A,0.383,163.2,A,0,0,A,0.535,77.9,A,0,0,A,0.255,172.2,A,0.083,177.4,A,0,0,A,0.372,25.8,A,0,0,A,0.093,72.8,A,0.169,309.3,A,0,0,A,0.077,114.3,A,0,0,A,0.027,72.8,A,0.021,309.3,A,0,0,A,0.039,114.3,A,0,0,A,0.49,357.4,A,0.399,356.7,A,0.397,5.7,A,0.225,2.3,A,0.19,A,0,A,596.561,A,0,A,A,0,0,OK,0,A
362578,2023/10/25,05:00:13,101,175/65R14           ,49403733,A,9.919,218.8,A,2.216,159.2,A,12.135,A,11.203,209,A,9.005,231.1,A,0.3,222.9,A,0.649,209,A,0,0,A,0.437,338.8,A,0,0,A,0.072,155.6,A,0.295,217.8,A,0,0,A,0.226,11.9,A,0,0,A,0.115,82.5,A,0.107,305.4,A,0,0,A,0.106,213,A,0,0,A,0.03,82.5,A,0.015,305.4,A,0,0,A,0.051,213,A,0,0,A,0.537,345.2,A,0.409,344.9,A,0.363,353.1,A,0.273,354.2,A,0.171,A,0,A,596.745,A,0,A,A,0,0,OK,0,A
362579,2023/10/25,05:04:01,101,175/65R14           ,49403862,A,8.518,258,A,15.966,295.6,A,24.485,A,23.302,282.7,A,10.583,145,A,0.637,237.6,A,0.367,334.5,A,0,0,A,0.729,69.1,A,0,0,A,0.368,178.3,A,0.134,345.4,A,0,0,A,0.496,27.1,A,0,0,A,0.178,152.4,A,0.09,2.2,A,0,0,A,0.183,226.1,A,0,0,A,0.054,152.4,A,0.045,2.2,A,0,0,A,0.022,227.3,A,0,0,A,0.675,355.3,A,0.465,355.2,A,0.396,6.2,A,0.381,67.3,A,0.281,A,0,A,596.712,A,0,A,A,0,0,OK,0,A
362580,2023/10/25,05:06:47,102,185/65R14           ,577681,A,20.777,24.5,A,8.127,33.4,A,28.904,A,28.833,27,A,12.812,18.8,A,0.527,58.2,A,0.364,243.3,A,0,0,A,0.655,51.4,A,0,0,A,0.32,137.9,A,0.175,206.6,A,0,0,A,0.394,350.2,A,0,0,A,0.097,110,A,0.154,138,A,0,0,A,0.092,123.8,A,0,0,A,0.018,110,A,0.029,138,A,0,0,A,0.089,123.8,A,0,0,A,0.29,28.4,A,0.33,59.5,A,0.35,30.8,A,0.533,68.5,A,0.329,A,0,A,600.419,A,0,A,A,0,0,OK,0,A
362581,2023/10/25,05:07:15,102,185/65R14           ,577558,A,16.204,88.1,A,5.301,53.2,A,21.505,A,20.771,79.7,A,12.243,102.5,A,0.623,200.8,A,0.526,136.1,A,0,0,A,0.888,91,A,0,0,A,0.306,231.2,A,0.254,165.1,A,0,0,A,0.503,35.1,A,0,0,A,0.093,129.2,A,0.099,268.7,A,0,0,A,0.277,218,A,0,0,A,0.091,129.2,A,0.075,268.7,A,0,0,A,0.014,218.2,A,0,0,A,0.56,1.7,A,0.326,2.5,A,0.49,356.4,A,0.285,85,A,0.391,A,0,A,600.463,A,0,A,A,0,0,OK,0,A
362582,2023/10/25,05:07:42,102,185/65R14           ,577556,A,24.679,70.1,A,18.581,84.6,A,43.26,A,42.922,76.3,A,8.142,35.4,A,1.104,93.4,A,0.597,94.3,A,0,0,A,0.611,340.7,A,0,0,A,0.367,148.2,A,0.21,142.3,A,0,0,A,0.318,9,A,0,0,A,0.267,205.8,A,0.085,225.8,A,0,0,A,0.092,302.8,A,0,0,A,0.053,205.8,A,0.053,225.8,A,0,0,A,0.076,301.6,A,0,0,A,0.457,86.9,A,0.267,75.3,A,0.519,82.2,A,0.409,82.5,A,0.24,A,0,A,600.568,A,0,A,A,0,0,OK,0,A
362583,2023/10/25,05:08:07,102,185/65R14           ,577779,A,16.988,59.3,A,24.746,83.7,A,41.734,A,40.824,73.8,A,11.633,300.8,A,0.553,71,A,0.457,220.7,A,0,0,A,0.856,338.6,A,0,0,A,0.396,131.8,A,0.194,177.4,A,0,0,A,0.418,23.6,A,0,0,A,0.102,145.2,A,0.188,97.2,A,0,0,A,0.166,247.5,A,0,0,A,0.033,145.2,A,0.05,97.2,A,0,0,A,0.076,248.4,A,0,0,A,0.294,15.2,A,0.25,196.4,A,0.384,83.6,A,0.457,83.2,A,0.382,A,0,A,600.662,A,0,A,A,0,0,OK,0,A
362584,2023/10/25,05:08:32,102,185/65R14           ,577673,A,16.822,348.3,A,21.219,272,A,38.042,A,30.027,305,A,23.767,48.5,A,0.42,214.6,A,0.573,210.1,A,0,0,A,0.642,30.7,A,0,0,A,0.095,212.1,A,0.434,211.4,A,0,0,A,0.462,6.1,A,0,0,A,0.034,232.6,A,0.17,35.9,A,0,0,A,0.1,160.3,A,0,0,A,0.024,232.6,A,0.014,35.9,A,0,0,A,0.049,160.3,A,0,0,A,0.745,350.9,A,0.481,350.9,A,0.426,357,A,0.2,16.9,A,0.217,A,0,A,600.504,A,0,A,A,0,0,OK,0,A
362585,2023/10/25,05:09:05,102,185/65R14           ,577890,A,29.761,63.4,A,18.032,17.4,A,47.793,A,44.223,46.4,A,21.587,100.4,A,0.471,99.5,A,0.602,250.3,A,0,0,A,0.942,335.9,A,0,0,A,0.079,95.3,A,0.363,267.7,A,0,0,A,0.699,353.8,A,0,0,A,0.189,137.2,A,0.132,52.6,A,0,0,A,0.179,331.8,A,0,0,A,0.032,137.2,A,0.053,52.6,A,0,0,A,0.03,332.6,A,0,0,A,0.708,1.8,A,0.416,1.6,A,0.486,7.7,A,0.35,84.1,A,0.291,A,0,A,600.81,A,0,A,A,0,0,OK,0,A
362586,2023/10/25,05:09:38,102,185/65R14           ,577795,A,18.837,70.8,A,20.299,291.8,A,39.135,A,13.745,355.6,A,36.671,92.1,A,0.686,185.5,A,0.746,243.9,A,0,0,A,0.565,345.4,A,0,0,A,0.336,145.3,A,0.466,223.2,A,0,0,A,0.433,1.1,A,0,0,A,0.22,146.8,A,0.073,77.2,A,0,0,A,0.048,231.6,A,0,0,A,0.064,146.8,A,0.088,77.2,A,0,0,A,0.064,236.4,A,0,0,A,0.559,356.4,A,0.376,356.9,A,0.406,1.6,A,0.353,345.2,A,0.221,A,0,A,600.672,A,0,A,A,0,0,OK,0,A
362587,2023/10/25,05:10:10,102,185/65R14           ,577901,A,21.458,302.8,A,34.005,283.3,A,55.462,A,54.705,290.9,A,15.519,75.9,A,0.635,62.1,A,0.56,193.1,A,0,0,A,0.638,303.5,A,0,0,A,0.349,108.2,A,0.289,179.6,A,0,0,A,0.354,330.6,A,0,0,A,0.286,156.5,A,0.032,112,A,0,0,A,0.257,210.8,A,0,0,A,0.029,156.5,A,0.06,112,A,0,0,A,0.051,211.9,A,0,0,A,0.564,328.4,A,0.436,256.8,A,0.372,199.1,A,0.541,50.2,A,0.32,A,0,A,600.822,A,0,A,A,0,0,OK,0,A
362588,2023/10/25,05:10:38,102,185/65R14           ,577896,A,9.635,60,A,7.499,9.1,A,17.134,A,15.504,37.9,A,7.601,109.8,A,0.732,79.7,A,0.542,140.8,A,0,0,A,1.072,25.2,A,0,0,A,0.437,123.3,A,0.088,164.1,A,0,0,A,0.757,20.7,A,0,0,A,0.184,169,A,0.186,227.9,A,0,0,A,0.108,52.6,A,0,0,A,0.022,169,A,0.053,227.9,A,0,0,A,0.075,52.4,A,0,0,A,0.42,243,A,0.188,347.3,A,0.367,113.6,A,0.432,82.6,A,0.245,A,0,A,600.768,A,0,A,A,0,0,OK,0,A
